,Date,TSLA,BTC,DOW JONES,GOLD,Date_numeric
,2024-09-16,226.78,61718.00,41622.00,20.52,0
,2024-09-17,227.87,60188.00,41606.00,20.48,1
,2024-09-18,227.20,61030.00,41503.00,20.06,2
,2024-09-19,243.92,62403.00,42025.00,20.23,3
,2024-09-20,238.25,61841.00,42063.00,20.38,4
,2024-09-23,250.00,62633.00,42125.00,20.21,5
,2024-09-24,254.27,63345.00,42208.00,20.43,6
,2024-09-25,257.02,62217.00,41914.75,20.70,7
,2024-09-26,254.22,60982.00,42175.11,21.01,8
,2024-09-27,260.46,59666.00,42313.00,20.23,9
,2024-09-30,261.63,63079.00,42330.15,19.89,10
,2024-10-01,258.02,63006.00,42156.97,20.30,11
,2024-10-02,249.02,62720.00,42196.52,20.18,12
,2024-10-03,240.66,65930.00,42011.59,19.85,13
,2024-10-04,250.08,66967.00,42352.75,20.11,14
,2024-10-07,240.83,67743.00,41954.24,19.88,15
,2024-10-08,244.50,66795.00,42080.37,19.66,16
,2024-10-09,241.05,68625.00,42512.00,19.66,17
,2024-10-10,238.77,68179.00,42454.12,20.07,18
,2024-10-11,217.80,68495.00,42863.86,19.99,19
,2024-10-14,219.16,67732.00,43065.22,19.98,20
,2024-10-15,219.57,67457.00,42740.42,20.21,21
,2024-10-16,221.33,66353.00,43077.70,19.94,22
,2024-10-17,220.89,68213.00,43239.05,20.34,23
,2024-10-18,220.70,66726.00,43275.91,20.92,24
,2024-10-21,218.85,67086.00,42931.60,20.86,25
,2024-10-22,217.97,67750.00,42924.89,21.19,26
,2024-10-23,213.65,69588.00,42514.95,20.80,27
,2024-10-24,260.48,72532.00,42374.36,20.32,28
,2024-10-25,269.19,71822.00,42114.40,19.61,29
,2024-10-28,262.51,69948.00,42387.57,19.98,30
,2024-10-29,259.52,69267.00,42233.05,20.28,31
,2024-10-30,257.55,69504.00,42141.54,20.05,32
,2024-10-31,249.85,68935.00,41763.46,19.32,33
,2024-11-01,248.98,67290.00,42052.19,19.05,34
,2024-11-04,242.84,69443.00,41794.60,18.90,35
,2024-11-05,251.44,76232.00,42221.88,18.88,36
,2024-11-06,288.53,76618.00,43729.93,18.43,37
,2024-11-07,296.91,76784.00,43729.34,18.48,38
,2024-11-08,321.22,76330.00,43988.99,18.40,39
,2024-11-11,350.00,79002.00,44293.13,17.40,40
,2024-11-12,328.49,87115.00,43910.98,17.02,41
,2024-11-13,330.24,89525.00,43958.19,16.79,42
,2024-11-14,311.18,89801.00,43750.86,16.85,43
,2024-11-15,320.72,87565.00,43444.99,16.65,44
,2024-11-18,338.74,91487.00,43390.00,17.20,45
,2024-11-19,346.00,90799.00,43269.00,17.72,46
,2024-11-20,342.03,89636.00,43408.00,17.89,47
,2024-11-21,339.64,91574.00,43870.00,18.12,48
,2024-11-22,352.56,92607.00,44297.00,18.22,49