,Date,TSLA,BTC,DOW JONES,GOLD,,,,,,,
,9/16,226.78,"61,718.00","41,622.00",$20.52,,,,,,,
,9/17,227.87,"60,188.00","41,606.00",$20.48,,,,,,,
,9/18,227.20,"61,030.00","41,503.00",$20.06,,,,,,,
,9/19,243.92,"62,403.00","42,025.00",$20.23,,,,,,,
,9/20,238.25,"61,841.00","42,063.00",$20.38,,,,,,,
,9/23,250.00,"62,633.00","42,125.00",$20.21,,,,,,,
,9/24,254.27,"63,345.00","42,208.00",$20.43,,,,,,,
,9/25,257.02,"62,217.00","41,914.75",$20.70,,,,,,,
,9/26,254.22,"60,982.00","42,175.11",$21.01,,,,,,,
,9/27,260.46,"59,666.00","42,313.00",$20.23,,,,,,,
,9/30,261.63,"63,079.00","42,330.15",$19.89,,,,,,,
,10/1,258.02,"63,006.00","42,156.97",$20.30,,,,,,,
,10/2,249.02,"62,720.00","42,196.52",$20.18,,,,,,,
,10/3,240.66,"65,930.00","42,011.59",$19.85,,,,,,,
,10/4,250.08,"66,967.00","42,352.75",$20.11,,,,,,,
,10/7,240.83,"67,743.00","41,954.24",$19.88,,,,,,,
,10/8,244.50,"66,795.00","42,080.37",$19.66,,,,,,,
,10/9,241.05,"68,625.00","42,512.00",$19.66,,,,,,,
,10/10,238.77,"68,179.00","42,454.12",$20.07,,,,,,,
,10/11,217.80,"68,495.00","42,863.86",$19.99,,,,,,,
,10/14,219.16,"67,732.00","43,065.22",$19.98,,,,,,,
,10/15,219.57,"67,457.00","42,740.42",$20.21,,,,,,,
,10/16,221.33,"66,353.00","43,077.70",$19.94,,,,,,,
,10/17,220.89,"68,213.00","43,239.05",$20.34,,,,,,,
,10/18,220.70,"66,726.00","43,275.91",$20.92,,,,,,,
,10/21,218.85,"67,086.00","42,931.60",$20.86,,,,,,,
,10/22,217.97,"67,750.00","42,924.89",$21.19,,,,,,,
,10/23,213.65,"69,588.00","42,514.95",$20.80,,,,,,,
,10/24,260.48,"72,532.00","42,374.36",$20.32,,,,,,,
,10/25,269.19,"71,822.00","42,114.40",$19.61,,,,,,,
,10/28,262.51,"69,948.00","42,387.57",$19.98,,,,,,,
,10/29,259.52,"69,267.00","42,233.05",$20.28,,,,,,,
,10/30,257.55,"69,504.00","42,141.54",$20.05,,,,,,,
,10/31,249.85,"68,935.00","41,763.46",$19.32,,,,,,,
,11/1,248.98,"67,290.00","42,052.19",$19.05,,,,,,,
,11/4,242.84,"69,443.00","41,794.60",$18.90,,,,,,,
,11/5,251.44,"76,232.00","42,221.88",$18.88,,,,,,,
,11/6,288.53,"76,618.00","43,729.93",$18.43,,,,,,,
,11/7,296.91,"76,784.00","43,729.34",$18.48,,,,,,,
,11/8,321.22,"76,330.00","43,988.99",$18.40,,,,,,,
,11/11,350.00,"79,002.00","44,293.13",$17.40,,,,,,,
,11/12,328.49,"87,115.00","43,910.98",$17.02,,,,,,,
,11/13,330.24,"89,525.00","43,958.19",$16.79,,,,,,,
,11/14,311.18,"89,801.00","43,750.86",$16.85,,,,,,,
,11/15,320.72,"87,565.00","43,444.99",$16.65,,,,,,,
,11/18,338.74,"91,487.00","43,390.00",$17.20,,,,,,,
,11/19,346.00,"90,799.00","43,269.00",$17.72,,,,,,,$18.22
,11/20,342.03,"89,636.00","43,408.00",$17.89,,,,,,,$18.12
,11/21,339.64,"91,574.00","43,870.00",$18.12,,,,,,,$17.89
,11/22,352.56,"92,607.00","44,297.00",$18.22,,,,,,,$17.72
,,,,,,,,,,,,$17.20
,,,,,,,,,,,,$16.65
,,,,,,,,,,,,$16.85
,,,,,,,,,,,,$16.79
,,,,,,,,,,,,$17.02
,,,,,,,,,,,,$17.40
,,,,,,,,,,,,$18.40
,,,,,,,,,,,,$18.48
,,,,,,,,,,,,$18.43
,,,,,,,,,,,,$18.88
,,,,,,,,,,,,$18.90
,,,,,,,,,,,,$19.05
,,,,,,,,,,,,$19.32
,,,,,,,,,,,,$20.05
,,,,,,,,,,,,$20.28
,,,,,,,,,,,,$19.98