,,,,
,TSLA,BTC,DOW,GOLD
,310.57,"87,568","43,587.93",16.87
,327.69,"89,801","44,032.38",16.71
,335.85,"89,530","43,880.46",17.24
,342.74,"87,105","44,359.21",17.19
,346.3,"79,002","44,057.65",17.5
,299.14,"76,330","43,768.53",18.29
,288.89,"76,775","43,718.92",18.18
,284.67,"76,613","42,850.40",17.9
,247.34,"76,225","41,835.49",19.05
,244.56,"69,442","42,004.66",19.14
,252.04,"67,292","41,869.82",19.35
,257.99,"68,935","41,956.34",19.62
,258.04,"69,504","42,249.81",20.05
,264.51,"69,261","42,323.48",20.09
,270,"69,949","42,264.54",19.53
,256.01,"71,824","42,477.51",19.98
,244.68,"72,531","42,522.55",20.95
,217.13,"69,587","42,834.40",20.86
,217.31,"67,750","42,876.84",21.1
,218.9,"67,086","43,222.21",21.13
,220.71,"66,727","43,187.12",20.51
,221.59,"68,218","43,119.81",20.21
,221.4,"66,356","42,706.49",20.26
,220.71,"67,457","43,240.17",19.97
,221.59,"67,732","42,800.89",19.88
,221.4,"68,495","42,507.53",20.21
,220.01,"68,179","42,511.37",19.73
,220.13,"68,624","42,070.32",19.53
,220.13,"66,800","42,022.65",19.78
,241.81,"67,743","42,289.51",19.96
,243.82,"66,970","42,248.26",19.78
,243.56,"65,928","42,099.53",19.93
,249,"62,720","42,125.14",20.33
,246.69,"63,006","42,262.97",20.17
,244.48,"63,080","42,289.75",19.81
,247.55,"59,667","42,227.95",20.75
,262.67,"60,981","42,113.42",20.85
,259.04,"62,215","42,236.09",20.44
,257.38,"63,346","42,234.99",20.35
,260.6,"62,634","42,060.40",20.45
,252.5,"61,841","41,959.43",20.5
,254.08,"62,399","41,972.56",20.57
,242.61,"61,033","41,628.91",20.6
,241.52,"60,189","41,723.78",20.27
,234,"61,722","41,435.17",20.81
,230.09,"63,432","41,153.70",20.84
,229.45,"65,973","40,862.11",20.24
,229.3,"65,735","40,638.76",19.55
,228,"65,686","40,916.50",19.37
,224.66,"64,747","40,555.11",19.1
,224.55,"63,155","40,756.81",19.41